activity1,activity2,corr,communities,cluster1,cluster2
Multipurpose cash,"1.08.6 Provide teachers with teaching materials and resources such as chalk, rulers, markers, etc. for teaching in non-formal settings",0.205,24,Cash,Education
# of Pregnant and Lactating Women (PLWs) and care-takers of children under 2 who receive CVA support linked to a nutrition objective.,Food Baskets,0.204,31,Nutrition,FSL
fuel_consumption,"1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.204,21,WASH,Education
Food Baskets,1.9   Provide children with school water trucking,0.203,112,FSL,Education
# of children 6-23 months reached with LNS for four month,chlorin_cholera,0.203,31,Nutrition,WASH
# of boys and girls (6 – 59 months) screened for malnutrition,"Mixed Food Items (MFIs, SFBs)",0.203,29,Nutrition,FSL
# PLWs screened for malnutrition,"Mixed Food Items (MFIs, SFBs)",0.203,29,Nutrition,FSL
# of children 6-23 months reached with LNS for four month,Emergency Food Rations (EFRs),0.203,28,Nutrition,FSL
# of PLWs with moderate acute malnutrition admitted for treatment,fuel_consumption,0.202,38,Nutrition,WASH
# of children 6-23 months reached with LNS for four month,Free Bread Distribution,0.202,38,Nutrition,FSL
cholera_sew,Multipurpose cash,0.202,38,WASH,Cash
# of children 0-6 months EBF,o_m,0.202,36,Nutrition,WASH
Legal services - GP6,1.9   Provide children with school water trucking,0.202,22,Protection,Education
1.2.1.2: Installation of new/ replacement of existing tents,Food Baskets,0.201,38,SNFI,FSL
# of RRTs established and supported to provide CMAM and IYCF services.,Multipurpose cash,0.201,29,Nutrition,Cash
fuel_consumption,"2.02.1 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in formal settings",0.201,29,WASH,Education
Awareness raising through contact initiatives - GP2,beneficiaries_toilets,0.201,28,Protection,WASH
Number of caregivers including pregnant and lactating women (PLWs) counselled or reached with awareness on appropriate infant and young child feeding (IYCF),"Mixed Food Items (MFIs, SFBs)",0.201,28,Nutrition,FSL
wq_testing,"1.07.12 Provide maintenance and running costs, including cleaning material, stationery for school personnel or fuel, in learning spaces and schools",0.201,28,WASH,Education
"# of adolescent girls who received micronutrients, including iron, folate and Micronutrient tablets for six months",Animal treatment/vaccination,0.201,21,Nutrition,FSL
Case management and Referrals - GP5,# of children 6-23 months reached with LNS for four month,0.2,49,Protection,Nutrition
Ready to Eat Ration,"2.01.1 Provide professional development to teaching staff and education personnel, including psychosocial support, subject knowledge, pedagogical skills, classroom managements, positive discipline, life skills, technical and vocational training, life skills and citizenship education, remote teaching pedagogy, education in emergencies (EiE), national/INEE minimum standards,codes of conduct and anti-bullying, mine risk education, safety/security protocols, etc. in formal settings",0.2,45,FSL,Education
# of boys and girls (6 - 59 months) with moderate acute malnutrition newly admitted for treatment,Cooked Meals,0.2,35,Nutrition,FSL
Legal services - GP6,Number of caregivers including pregnant and lactating women (PLWs) counselled or reached with awareness on appropriate infant and young child feeding (IYCF),0.2,29,Protection,Nutrition
Case management and Referrals - GP5,2.05.7 Provide children with recreational materials in formal settings,0.2,25,Protection,Education
# of boys and girls (6 - 59 months) having severe acute malnutrition without medical complication newly admitted for  treatment,"2.06.1 Provide children, teachers and education personnel health and hygiene awareness",0.2,24,Nutrition,Education
# of lactating mothers (mothers of children 0-23 months) that started re-lactation,"2.02.1 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in formal settings",0.2,22,Nutrition,Education
Multipurpose cash,2.05.4 Provide children with learning materials such as NGO developed and SLP materials etc. (excluding textbooks)in non-formal settings,0.2,22,Cash,Education
Food Baskets,1.02.1 Support the provision of formal education to children and youth,0.199,116,FSL,Education
Number of caregivers including pregnant and lactating women (PLWs) counselled or reached with awareness on appropriate infant and young child feeding (IYCF),Cooked Meals,0.198,37,Nutrition,FSL
Number of caregivers including pregnant and lactating women (PLWs) counselled or reached with awareness on appropriate infant and young child feeding (IYCF),sew_rehab_repair,0.198,33,Nutrition,WASH
Legal services - GP6,"# of PLWs who received micronutrients including iron, folate  for six months",0.198,29,Protection,Nutrition
Legal services - GP6,water_trucking,0.198,24,Protection,WASH
# of RRTs established and supported to provide CMAM and IYCF services.,hp_ben,0.198,21,Nutrition,WASH
# of PLWs with moderate acute malnutrition admitted for treatment,"1.08.6 Provide teachers with teaching materials and resources such as chalk, rulers, markers, etc. for teaching in non-formal settings",0.198,21,Nutrition,Education
chlorination,"1.07.12 Provide maintenance and running costs, including cleaning material, stationery for school personnel or fuel, in learning spaces and schools",0.197,28,WASH,Education
Multipurpose cash,1.13.2 Provide children with school bags in non-formal settings,0.197,24,Cash,Education
Number of caregivers including pregnant and lactating women (PLWs) counselled or reached with awareness on appropriate infant and young child feeding (IYCF),"1.07.4 classrooms (temporary learning spaces) constructed, established, rehabilitated or repaired in non-formal settings",0.197,21,Nutrition,Education
# of boys and girls (6 – 59 months) screened for malnutrition,Cooked Meals,0.196,38,Nutrition,FSL
Legal services - GP6,# of boys and girls (6 - 59 months) who received micronutrient supplements (micronutrient powder (MNP) for four months.,0.196,28,Protection,Nutrition
# of boys and girls (6 – 59 months) screened for malnutrition,Animal treatment/vaccination,0.195,43,Nutrition,FSL
# of boys and girls (6 - 59 months) with moderate acute malnutrition newly admitted for treatment,Animal treatment/vaccination,0.195,39,Nutrition,FSL
hk_ben,"2.01.1 Provide professional development to teaching staff and education personnel, including psychosocial support, subject knowledge, pedagogical skills, classroom managements, positive discipline, life skills, technical and vocational training, life skills and citizenship education, remote teaching pedagogy, education in emergencies (EiE), national/INEE minimum standards,codes of conduct and anti-bullying, mine risk education, safety/security protocols, etc. in formal settings",0.195,36,WASH,Education
# of children 6-23 months reached with LNS for four month,1.2.1.2: Installation of new/ replacement of existing tents,0.195,26,Nutrition,SNFI
Food Baskets,"2.06.2 Provide children, teachers and education personnel Covid-19 related awareness raising",0.194,31,FSL,Education
Food Baskets,"2.01.1 Provide professional development to teaching staff and education personnel, including psychosocial support, subject knowledge, pedagogical skills, classroom managements, positive discipline, life skills, technical and vocational training, life skills and citizenship education, remote teaching pedagogy, education in emergencies (EiE), national/INEE minimum standards,codes of conduct and anti-bullying, mine risk education, safety/security protocols, etc. in formal settings",0.193,84,FSL,Education
# of caregivers with infants 0-6 months that are counselled on IYCF,1.07.13 Provide heaters or fuel for heating in learning spaces and schools non-formal settings,0.193,27,Nutrition,Education
Case management and Referrals - GP5,fuel_consumption,0.193,23,Protection,WASH
# of boys and girls (6 – 59 months) screened for malnutrition,Income-generating activities (IGAs),0.193,22,Nutrition,FSL
Awareness raising through contact initiatives - GP2,# of boys and girls (6 - 59 months) who received micronutrient supplements (micronutrient powder (MNP) for four months.,0.192,63,Protection,Nutrition
# of pregnant and lactating women in NW Syria trained on family MUAC approach,Animal treatment/vaccination,0.192,36,Nutrition,FSL
Ready to Eat Ration,2.05.7 Provide children with recreational materials in formal settings,0.192,33,FSL,Education
Legal services - GP6,# of pregnant and lactating women in NW Syria trained on family MUAC approach,0.192,25,Protection,Nutrition
chlorin_cholera,Food Baskets,0.191,44,WASH,FSL
# of boys and girls (6 - 59 months) having severe acute malnutrition without medical complication newly admitted for  treatment,fuel_consumption,0.191,33,Nutrition,WASH
# of PLWs with moderate acute malnutrition admitted for treatment,1.13.2 Provide children with school bags in non-formal settings,0.191,21,Nutrition,Education
Number of PLW reached with MAM treatment,hp_ben,0.19,33,Nutrition,WASH
Number of PLW reached with MAM treatment,beneficiaries_toilets,0.19,21,Nutrition,WASH
des_beneficiaries,Food Baskets,0.189,93,WASH,FSL
# of children 6-23 months reached with LNS for four month,1.07.13 Provide heaters or fuel for heating in learning spaces and schools in formal settings,0.189,47,Nutrition,Education
